ID,Gender,Age,Member Since,Income,# of Orders,,,,,,,,
8485, M,33,20160821,49000,49,,,,,,,,
8486, F,72,20171011,61000,14,,,,,,,,
8487, M,18,20171025,51000,7,,,,,,,,
8488, M,49,20170829,53000,11,,,,,,,,
8489, F,42,20170731,46000,5,,,,,,,,
8490, F,50,20160326,78000,7,,,,,,,,
8491, M,51,20170304,59000,6,,,,,,,,
8492, M,19,20140819,39000,31,,,,,,,,
8493, F,46,20140827,96000,4,,,,,,,,
8494, M,33,20171230,57000,32,,,,,,,,
8495, M,48,20140522,42000,11,,,,,,,,
8496, F,57,20170804,95000,5,,,,,,,,
8497, M,66,20170305,68000,8,,,,,,,,
8498, M,60,20170727,63000,7,,,,,,,,
8499, M,40,20160210,45000,10,,,,,,,,
8500, F,82,20180619,80000,76,,,,,,,,
8501, M,72,20160909,80000,11,,,,,,,,
8502, M,46,20161104,32000,65,,,,,,,,
8503, M,76,20170823,86000,4,,,,,,,,
8504, F,52,20150604,93000,4,,,,,,,,
8505, F,53,20170919,77000,12,,,,,,,,
8506, M,46,20150110,98000,53,,,,,,,,
8507, M,62,20160320,73000,13,,,,,,,,
8508, F,38,20161113,66000,16,,,,,,,,
8509, M,49,20180705,38000,7,,,,,,,,
8510, M,55,20180302,56000,15,,,,,,,,
8511, F,48,20160613,87000,6,,,,,,,,
8512, M,33,20150502,70000,18,,,,,,,,
8513, M,60,20180122,63000,15,,,,,,,,
8514, M,24,20180102,57000,6,,,,,,,,
8515, F,34,20170228,64000,4,,,,,,,,
8516, F,61,20161026,51000,26,,,,,,,,
8517, F,30,20170915,58000,22,,,,,,,,
8518, M,69,20160427,108000,31,,,,,,,,
8519, M,80,20170225,98000,6,,,,,,,,
8520, F,75,20160628,49000,20,,,,,,,,
8521, M,63,20180118,30000,4,,,,,,,,
8522, F,58,20170409,74000,4,,,,,,,,
8523, F,50,20161126,83000,14,,,,,,,,
8524, M,38,20180321,37000,52,,,,,,,,
8525, F,62,20171113,51000,5,,,,,,,,
8526, M,54,20171230,60000,18,,,,,,,,
8527, F,65,20171225,64000,29,,,,,,,,
8528, M,68,20180211,41000,5,,,,,,,,
8529, F,45,20150805,73000,7,,,,,,,,
8530, F,81,20160519,84000,36,,,,,,,,
8531, M,26,20180202,34000,6,,,,,,,,
8532, F,66,20141126,56000,7,,,,,,,,
8533, M,58,20160316,79000,26,,,,,,,,
8534, M,52,20171020,47000,18,,,,,,,,
8535, F,49,20171210,85000,69,,,,,,,,
8536, F,25,20141123,32000,8,,,,,,,,
8537, M,75,20170923,85000,87,,,,,,,,
8538, M,32,20180220,71000,5,,,,,,,,
8539, M,61,20160805,57000,5,,,,,,,,
8540, M,47,20180720,69000,9,,,,,,,,
8541, F,24,20151010,40000,6,,,,,,,,
8542, M,72,20161103,94000,6,,,,,,,,
8543, M,55,20170901,76000,7,,,,,,,,
8544, M,61,20180414,67000,12,,,,,,,,
8545, F,26,20180107,74000,37,,,,,,,,
8546, F,69,20180426,109000,21,,,,,,,,
8547, F,58,20150816,79000,23,,,,,,,,
8548, F,55,20160107,88000,32,,,,,,,,
8549, F,65,20161230,82000,16,,,,,,,,
8550, M,76,20150308,54000,9,,,,,,,,
8551, F,29,20180312,64000,31,,,,,,,,
8552, M,24,20171217,38000,16,,,,,,,,
8553, M,67,20171007,118000,14,,,,,,,,
8554, M,49,20150623,98000,11,,,,,,,,
8555, M,94,20170819,74000,13,,,,,,,,
8556, F,85,20180127,34000,16,,,,,,,,
8557, F,53,20180501,34000,8,,,,,,,,
8558, F,24,20180315,50000,6,,,,,,,,
8559, F,70,20180509,118000,5,,,,,,,,
8560, F,49,20170930,56000,20,,,,,,,,
8561, F,60,20171206,50000,8,,,,,,,,
8562, M,37,20171106,70000,13,,,,,,,,
8563, F,81,20151009,36000,12,,,,,,,,
8564, F,51,20160322,99000,7,,,,,,,,
8565, F,72,20161204,54000,4,,,,,,,,
8566, F,58,20160817,47000,8,,,,,,,,
8567, F,49,20160416,96000,4,,,,,,,,
8568, F,63,20180531,107000,6,,,,,,,,
8569, M,54,20170910,53000,5,,,,,,,,
8570, M,53,20170728,57000,7,,,,,,,,
8571, M,29,20130916,59000,6,,,,,,,,
8572, M,70,20160207,116000,4,,,,,,,,
8573, F,28,20170910,45000,9,,,,,,,,
8574, M,35,20180313,38000,8,,,,,,,,
8575, M,62,20171227,72000,17,,,,,,,,
8576, F,83,20161114,37000,4,,,,,,,,
8577, M,34,20160229,73000,6,,,,,,,,
8578, M,21,20161125,72000,36,,,,,,,,
8579, F,52,20170312,73000,4,,,,,,,,
8580, F,40,20180603,52000,7,,,,,,,,
8581, F,65,20170930,78000,4,,,,,,,,
8582, F,78,20161209,89000,23,,,,,,,,
8583, M,53,20151223,64000,9,,,,,,,,
8584, F,38,20170423,77000,19,,,,,,,,
8585, M,35,20160704,45000,4,,,,,,,,
8586, M,75,20170822,87000,6,,,,,,,,
8587, M,36,20180615,64000,4,,,,,,,,
8588, O,20,20180202,67000,25,,,,,,,,
8589, F,63,20161020,104000,25,,,,,,,,
8590, M,65,20160828,77000,7,,,,,,,,
8591, F,51,20171231,84000,10,,,,,,,,
8592, M,94,20160608,75000,5,,,,,,,,
8593, M,24,20180320,65000,5,,,,,,,,
8594, M,70,20160824,119000,9,,,,,,,,
8595, M,39,20160302,94000,7,,,,,,,,
8596, F,48,20131016,55000,34,,,,,,,,
8597, M,37,20170714,36000,9,,,,,,,,
8598, F,74,20180605,115000,4,,,,,,,,
8599, M,36,20160609,41000,4,,,,,,,,
8600, M,52,20140930,35000,17,,,,,,,,
8601, M,57,20180331,72000,64,,,,,,,,
8602, F,24,20180704,39000,10,,,,,,,,
8603, F,47,20171221,65000,6,,,,,,,,
8604, M,55,20170727,80000,5,,,,,,,,
8605, M,43,20161227,67000,17,,,,,,,,
8606, M,84,20150502,66000,4,,,,,,,,
8607, M,72,20150321,55000,4,,,,,,,,
8608, F,53,20150823,75000,20,,,,,,,,
8609, M,61,20180103,41000,12,,,,,,,,
8610, F,61,20180506,82000,5,,,,,,,,
8611, F,78,20170928,93000,45,,,,,,,,
8612, F,49,20180718,81000,6,,,,,,,,
8613, F,60,20180629,36000,4,,,,,,,,
8614, M,56,20160405,49000,4,,,,,,,,
8615, F,54,20170808,64000,6,,,,,,,,
8616, F,61,20160324,115000,9,,,,,,,,
8617, F,52,20171029,70000,7,,,,,,,,
8618, F,68,20150307,58000,10,,,,,,,,
8619, M,73,20131113,54000,12,,,,,,,,
8620, M,22,20180102,40000,4,,,,,,,,
8621, F,22,20171007,40000,4,,,,,,,,
8622, F,55,20171116,32000,5,,,,,,,,
8623, M,27,20171026,44000,4,,,,,,,,
8624, M,54,20180127,94000,15,,,,,,,,
8625, F,61,20160731,33000,19,,,,,,,,
8626, M,80,20180602,35000,6,,,,,,,,
8627, M,47,20170807,34000,29,,,,,,,,
8628, F,67,20180320,60000,4,,,,,,,,
8629, F,62,20160703,62000,4,,,,,,,,
8630, F,60,20140708,46000,22,,,,,,,,
8631, M,45,20170101,55000,13,,,,,,,,
8632, M,38,20180605,46000,10,,,,,,,,
8633, M,20,20180612,32000,4,,,,,,,,
8634, M,43,20171007,72000,8,,,,,,,,
8635, M,45,20180406,35000,6,,,,,,,,
8636, M,19,20180309,67000,19,,,,,,,,
8637, F,72,20150730,60000,5,,,,,,,,
8638, F,58,20171207,119000,7,,,,,,,,
8639, M,47,20160809,39000,42,,,,,,,,
8640, M,60,20150208,45000,9,,,,,,,,
8641, M,31,20161110,46000,7,,,,,,,,
8642, M,66,20160704,73000,4,,,,,,,,
8643, F,25,20170923,63000,6,,,,,,,,
8644, M,71,20170127,90000,15,,,,,,,,
8645, M,32,20170915,33000,7,,,,,,,,
8646, M,59,20140426,40000,14,,,,,,,,
8647, M,53,20170203,38000,4,,,,,,,,
8648, F,73,20161219,108000,21,,,,,,,,
8649, F,49,20171128,60000,7,,,,,,,,
8650, M,56,20180213,84000,34,,,,,,,,
8651, F,46,20171029,51000,28,,,,,,,,
8652, F,44,20160303,70000,49,,,,,,,,
8653, F,51,20180529,60000,9,,,,,,,,
8654, F,71,20170820,72000,6,,,,,,,,
8655, F,38,20160313,87000,19,,,,,,,,
8656, F,86,20160330,55000,65,,,,,,,,
8657, M,50,20171003,42000,36,,,,,,,,
8658, F,33,20160710,74000,4,,,,,,,,
8659, M,55,20140816,37000,11,,,,,,,,
8660, M,46,20151122,46000,5,,,,,,,,
8661, M,30,20180124,74000,38,,,,,,,,
8662, F,93,20170220,115000,34,,,,,,,,
8663, F,49,20150807,72000,4,,,,,,,,
8664, F,58,20170627,105000,100,,,,,,,,
8665, M,58,20150919,84000,18,,,,,,,,
8666, M,45,20171007,63000,12,,,,,,,,
8667, M,20,20180311,70000,10,,,,,,,,
8668, M,27,20150815,50000,4,,,,,,,,
8669, M,41,20151121,64000,11,,,,,,,,
8670, F,48,20171025,34000,8,,,,,,,,
8671, F,71,20180722,63000,40,,,,,,,,
8672, O,51,20170519,69000,36,,,,,,,,
8673, F,37,20171024,59000,7,,,,,,,,
8674, M,38,20180629,41000,11,,,,,,,,
8675, M,50,20180401,70000,22,,,,,,,,
8676, M,65,20160811,59000,6,,,,,,,,
8677, M,78,20170907,79000,44,,,,,,,,
8678, F,53,20170220,73000,27,,,,,,,,
8679, M,21,20180215,45000,6,,,,,,,,
8680, F,39,20180110,51000,15,,,,,,,,
8681, O,24,20180410,36000,9,,,,,,,,
8682, M,48,20171203,45000,7,,,,,,,,
8683, F,41,20160424,94000,7,,,,,,,,
8684, M,36,20180228,34000,5,,,,,,,,
8685, F,69,20170418,80000,4,,,,,,,,
8686, F,32,20140413,50000,6,,,,,,,,
8687, F,61,20171213,71000,73,,,,,,,,
8688, M,40,20180522,52000,22,,,,,,,,
8689, F,61,20170730,47000,21,,,,,,,,
8690, M,86,20160113,44000,14,,,,,,,,
8691, F,83,20171221,82000,9,,,,,,,,
8692, F,61,20140715,60000,15,,,,,,,,
8693, M,88,20180413,67000,34,,,,,,,,
8694, M,48,20180129,65000,12,,,,,,,,
8695, F,53,20180119,103000,11,,,,,,,,
8696, F,52,20170212,73000,6,,,,,,,,
8697, M,40,20180512,64000,23,,,,,,,,
8698, F,91,20171214,54000,4,,,,,,,,
8699, F,55,20151022,101000,7,,,,,,,,
8700, M,67,20180402,66000,6,,,,,,,,
8701, F,61,20170902,97000,5,,,,,,,,
8702, M,45,20170831,55000,14,,,,,,,,
8703, M,62,20180221,62000,100,,,,,,,,
8704, M,62,20160115,33000,14,,,,,,,,
8705, F,52,20160710,63000,8,,,,,,,,
8706, F,38,20160518,48000,46,,,,,,,,
8707, M,68,20171102,51000,4,,,,,,,,
8708, F,42,20170415,58000,5,,,,,,,,
8709, M,59,20160922,59000,6,,,,,,,,
8710, M,45,20170904,55000,11,,,,,,,,
8711, M,71,20180528,99000,12,,,,,,,,
8712, M,51,20140531,33000,14,,,,,,,,
8713, M,57,20170109,82000,11,,,,,,,,
8714, M,71,20170921,96000,8,,,,,,,,
8715, F,37,20170621,83000,20,,,,,,,,
8716, F,44,20170118,35000,21,,,,,,,,
8717, F,64,20140719,56000,7,,,,,,,,
8718, M,46,20171101,100000,8,,,,,,,,
8719, M,89,20160227,46000,12,,,,,,,,
8720, M,48,20170309,46000,19,,,,,,,,
8721, M,65,20180721,51000,17,,,,,,,,
8722, M,63,20160923,90000,8,,,,,,,,
8723, F,56,20160809,71000,37,,,,,,,,
8724, M,69,20151122,62000,15,,,,,,,,
8725, F,66,20180515,74000,7,,,,,,,,
8726, M,64,20180602,53000,20,,,,,,,,
8727, M,28,20171004,64000,27,,,,,,,,
8728, M,37,20160814,66000,8,,,,,,,,
8729, M,58,20170311,82000,4,,,,,,,,
8730, M,66,20170930,69000,26,,,,,,,,
8731, F,55,20170929,104000,5,,,,,,,,
8732, F,48,20170307,59000,4,,,,,,,,
8733, F,32,20180312,69000,5,,,,,,,,
8734, M,58,20160215,103000,5,,,,,,,,
8735, F,68,20160717,109000,10,,,,,,,,
8736, F,66,20180107,55000,32,,,,,,,,
8737, M,30,20130908,67000,86,,,,,,,,
8738, F,96,20160216,78000,20,,,,,,,,
8739, M,62,20170629,69000,22,,,,,,,,
8740, F,33,20170819,30000,4,,,,,,,,
8741, M,60,20140625,65000,13,,,,,,,,
8742, F,56,20180118,46000,40,,,,,,,,
8743, F,69,20151114,83000,20,,,,,,,,
8744, M,56,20160316,70000,9,,,,,,,,
8745, M,24,20170823,35000,8,,,,,,,,
8746, F,55,20180110,80000,69,,,,,,,,
8747, F,61,20160425,77000,82,,,,,,,,
8748, M,61,20180318,78000,63,,,,,,,,
8749, F,58,20171122,87000,16,,,,,,,,
8750, M,41,20180527,44000,19,,,,,,,,
8751, M,27,20130918,59000,9,,,,,,,,
8752, F,44,20170829,58000,25,,,,,,,,
8753, F,65,20180602,96000,8,,,,,,,,
8754, F,30,20151212,69000,6,,,,,,,,
8755, F,68,20161015,117000,5,,,,,,,,
8756, M,56,20180502,67000,8,,,,,,,,
8757, M,53,20180219,32000,5,,,,,,,,
8758, M,33,20150929,42000,7,,,,,,,,
8759, M,52,20180705,92000,5,,,,,,,,
8760, M,57,20160517,73000,16,,,,,,,,
8761, M,58,20171012,75000,33,,,,,,,,
8762, M,60,20170702,51000,4,,,,,,,,
8763, M,60,20180131,32000,28,,,,,,,,
8764, M,38,20180512,48000,6,,,,,,,,
8765, M,52,20151112,79000,31,,,,,,,,
8766, M,69,20160711,61000,9,,,,,,,,
8767, M,19,20180101,54000,4,,,,,,,,
8768, F,71,20160610,64000,11,,,,,,,,
8769, F,88,20180228,61000,14,,,,,,,,
8770, F,52,20151114,78000,40,,,,,,,,
8771, F,49,20180518,91000,4,,,,,,,,
8772, M,61,20151227,94000,5,,,,,,,,
8773, F,25,20161106,60000,4,,,,,,,,
8774, F,28,20180226,72000,4,,,,,,,,
8775, F,57,20160710,93000,12,,,,,,,,
8776, M,69,20140811,44000,10,,,,,,,,
8777, M,42,20180405,62000,27,,,,,,,,
8778, F,73,20160828,62000,24,,,,,,,,
8779, F,53,20170228,42000,100,,,,,,,,
8780, M,76,20180623,51000,7,,,,,,,,
8781, F,72,20150910,75000,4,,,,,,,,
8782, M,72,20170307,46000,39,,,,,,,,
8783, M,43,20170805,37000,10,,,,,,,,
8784, M,28,20180510,58000,17,,,,,,,,
8785, M,89,20151125,67000,20,,,,,,,,
8786, M,38,20180114,70000,15,,,,,,,,
8787, F,59,20171030,93000,27,,,,,,,,
8788, F,94,20180208,49000,17,,,,,,,,
8789, F,49,20170319,60000,19,,,,,,,,
8790, M,64,20150926,75000,33,,,,,,,,
8791, M,67,20171024,88000,6,,,,,,,,
8792, F,53,20171207,62000,31,,,,,,,,
8793, M,63,20171231,50000,6,,,,,,,,
8794, M,53,20151124,79000,7,,,,,,,,
8795, F,41,20180713,93000,4,,,,,,,,
8796, F,61,20170906,60000,4,,,,,,,,
8797, F,80,20161015,97000,11,,,,,,,,
8798, M,27,20141229,62000,4,,,,,,,,
8799, F,71,20160113,65000,8,,,,,,,,
8800, F,57,20171221,97000,12,,,,,,,,
8801, F,54,20170828,86000,26,,,,,,,,
8802, F,39,20171004,94000,5,,,,,,,,
8803, F,95,20160427,93000,58,,,,,,,,
8804, M,66,20150322,33000,14,,,,,,,,
8805, M,71,20180319,78000,40,,,,,,,,
8806, M,79,20171001,31000,70,,,,,,,,
8807, F,62,20180304,51000,6,,,,,,,,
8808, M,64,20160306,84000,9,,,,,,,,
8809, F,57,20170730,102000,5,,,,,,,,
8810, F,48,20160327,91000,30,,,,,,,,
8811, F,19,20180331,31000,11,,,,,,,,
8812, M,26,20141019,53000,74,,,,,,,,
8813, F,65,20160707,44000,6,,,,,,,,
8814, M,61,20170803,52000,33,,,,,,,,
8815, M,80,20131122,34000,5,,,,,,,,
8816, F,81,20180105,110000,47,,,,,,,,
8817, M,98,20170518,64000,23,,,,,,,,
8818, F,62,20180420,88000,18,,,,,,,,
8819, M,66,20180607,83000,5,,,,,,,,
8820, F,76,20161219,96000,9,,,,,,,,
8821, F,84,20171124,61000,15,,,,,,,,
8822, M,64,20171124,104000,4,,,,,,,,
8823, M,64,20170910,69000,4,,,,,,,,
8824, F,63,20170323,98000,5,,,,,,,,
8825, F,21,20140225,50000,21,,,,,,,,
8826, F,33,20180522,42000,7,,,,,,,,
8827, F,26,20170621,73000,8,,,,,,,,
8828, M,52,20170226,67000,8,,,,,,,,
8829, M,49,20150813,112000,17,,,,,,,,
8830, M,59,20171007,47000,6,,,,,,,,
8831, F,39,20161208,71000,6,,,,,,,,
8832, F,91,20150820,107000,100,,,,,,,,
8833, F,50,20170530,79000,6,,,,,,,,
8834, F,22,20180427,49000,4,,,,,,,,
8835, M,54,20180520,48000,10,,,,,,,,
8836, M,66,20170827,80000,18,,,,,,,,
8837, F,80,20170512,82000,5,,,,,,,,
8838, M,38,20180414,36000,7,,,,,,,,
8839, M,58,20170510,97000,5,,,,,,,,
8840, M,22,20180718,41000,15,,,,,,,,
8841, F,70,20160717,98000,60,,,,,,,,
8842, M,37,20180405,48000,49,,,,,,,,
8843, M,54,20180529,105000,44,,,,,,,,
8844, F,59,20170921,47000,40,,,,,,,,
8845, M,61,20160112,54000,25,,,,,,,,
8846, M,74,20170903,51000,35,,,,,,,,
8847, M,41,20171013,44000,14,,,,,,,,
8848, M,39,20170917,70000,7,,,,,,,,
8849, M,31,20150605,37000,28,,,,,,,,
8850, F,57,20180205,51000,4,,,,,,,,
8851, F,70,20150728,101000,7,,,,,,,,
8852, M,69,20171204,71000,45,,,,,,,,
8853, M,22,20180114,59000,17,,,,,,,,
8854, M,74,20170819,85000,5,,,,,,,,
8855, M,63,20171213,32000,33,,,,,,,,
8856, F,58,20180115,39000,26,,,,,,,,
8857, F,55,20170627,71000,9,,,,,,,,
8858, F,75,20171028,66000,11,,,,,,,,
8859, M,69,20180415,30000,9,,,,,,,,
8860, M,34,20140616,35000,7,,,,,,,,
8861, F,69,20180304,43000,7,,,,,,,,
8862, M,31,20170802,49000,5,,,,,,,,
8863, M,51,20150112,71000,4,,,,,,,,
8864, M,63,20160131,64000,4,,,,,,,,
8865, M,70,20180410,51000,11,,,,,,,,
8866, F,63,20171207,33000,4,,,,,,,,
8867, M,42,20180515,53000,8,,,,,,,,
8868, M,42,20171221,54000,25,,,,,,,,
8869, M,23,20170619,59000,6,,,,,,,,
8870, M,57,20180120,70000,9,,,,,,,,
8871, F,67,20130827,93000,33,,,,,,,,
8872, M,40,20180521,71000,4,,,,,,,,
8873, M,21,20170203,38000,39,,,,,,,,
8874, M,64,20170813,72000,4,,,,,,,,
8875, F,58,20171115,54000,19,,,,,,,,
8876, F,52,20171221,105000,5,,,,,,,,
8877, M,59,20150219,36000,6,,,,,,,,
8878, M,21,20170916,45000,6,,,,,,,,
8879, M,58,20140423,43000,6,,,,,,,,
8880, M,57,20170823,50000,17,,,,,,,,
8881, M,81,20180114,79000,6,,,,,,,,
8882, F,70,20180615,97000,4,,,,,,,,
8883, M,60,20161221,84000,6,,,,,,,,
8884, F,64,20180117,76000,10,,,,,,,,
8885, M,55,20160220,91000,10,,,,,,,,
8886, M,69,20171007,116000,20,,,,,,,,
8887, M,43,20180524,61000,21,,,,,,,,
8888, F,67,20160904,67000,18,,,,,,,,
8889, M,55,20180106,68000,8,,,,,,,,
8890, M,80,20180127,32000,7,,,,,,,,
8891, F,74,20180423,59000,7,,,,,,,,
8892, F,45,20170824,30000,8,,,,,,,,
8893, F,53,20180718,39000,26,,,,,,,,
8894, M,20,20171130,67000,52,,,,,,,,
8895, M,60,20180725,55000,7,,,,,,,,
8896, F,43,20171020,76000,35,,,,,,,,
8897, M,87,20180410,58000,7,,,,,,,,
8898, M,57,20170920,49000,5,,,,,,,,
8899, F,21,20180309,58000,10,,,,,,,,
8900, F,49,20171129,58000,4,,,,,,,,
8901, M,58,20180630,38000,4,,,,,,,,
8902, M,24,20180418,70000,6,,,,,,,,
8903, M,21,20180306,63000,31,,,,,,,,
8904, M,28,20150420,74000,6,,,,,,,,
8905, M,27,20180407,35000,10,,,,,,,,
8906, M,59,20170715,76000,12,,,,,,,,
8907, M,19,20161013,49000,14,,,,,,,,
8908, F,58,20180512,51000,8,,,,,,,,
8909, F,24,20170517,38000,4,,,,,,,,
8910, F,64,20160605,69000,26,,,,,,,,
8911, M,27,20180712,50000,15,,,,,,,,
8912, F,49,20161203,77000,6,,,,,,,,
8913, F,90,20160410,111000,9,,,,,,,,
8914, M,51,20151031,47000,37,,,,,,,,
8915, M,50,20161229,76000,18,,,,,,,,
8916, M,72,20140204,31000,16,,,,,,,,
8917, M,26,20180218,48000,7,,,,,,,,
8918, F,63,20171217,56000,4,,,,,,,,
8919, F,63,20170821,78000,9,,,,,,,,
8920, M,40,20151111,65000,40,,,,,,,,
8921, M,67,20170806,54000,9,,,,,,,,
8922, M,69,20150907,84000,5,,,,,,,,
8923, M,67,20170103,52000,15,,,,,,,,
8924, M,73,20180106,45000,47,,,,,,,,
8925, M,50,20180719,72000,17,,,,,,,,
8926, M,59,20180603,64000,22,,,,,,,,
8927, F,81,20180120,91000,15,,,,,,,,
8928, M,48,20180524,68000,6,,,,,,,,
8929, M,38,20160221,44000,11,,,,,,,,
8930, M,19,20180429,33000,32,,,,,,,,
8931, F,52,20180408,67000,23,,,,,,,,
8932, M,67,20170417,38000,12,,,,,,,,
8933, M,56,20161013,36000,4,,,,,,,,
8934, M,61,20171128,85000,35,,,,,,,,
8935, M,68,20140722,71000,6,,,,,,,,
8936, M,76,20150423,34000,4,,,,,,,,
8937, F,77,20160322,92000,6,,,,,,,,
8938, M,63,20180425,57000,8,,,,,,,,
8939, M,39,20160629,50000,45,,,,,,,,
8940, M,51,20160303,55000,10,,,,,,,,
8941, M,50,20130828,47000,28,,,,,,,,
8942, F,54,20180531,63000,5,,,,,,,,
8943, M,53,20171026,111000,8,,,,,,,,
8944, M,60,20170422,79000,29,,,,,,,,
8945, M,52,20170925,85000,5,,,,,,,,
8946, M,58,20130813,62000,46,,,,,,,,
8947, M,34,20180313,48000,4,,,,,,,,
8948, M,56,20170228,93000,22,,,,,,,,
8949, F,46,20160827,85000,9,,,,,,,,
8950, F,35,20180429,65000,4,,,,,,,,
8951, F,64,20160424,72000,5,,,,,,,,
8952, M,24,20180714,44000,5,,,,,,,,
8953, F,62,20180127,80000,8,,,,,,,,
8954, F,63,20160804,111000,5,,,,,,,,
8955, M,82,20160930,61000,12,,,,,,,,
8956, F,76,20151205,115000,7,,,,,,,,
8957, M,71,20150329,74000,33,,,,,,,,
8958, F,62,20150920,85000,9,,,,,,,,
8959, M,54,20180325,111000,38,,,,,,,,
8960, M,54,20170719,70000,22,,,,,,,,
8961, M,46,20180726,74000,5,,,,,,,,
8962, M,44,20170903,32000,12,,,,,,,,
8963, F,57,20160816,75000,12,,,,,,,,
8964, M,59,20171129,87000,22,,,,,,,,
8965, O,73,20131213,57000,16,,,,,,,,
8966, F,55,20160905,52000,11,,,,,,,,
8967, M,45,20180531,40000,4,,,,,,,,
8968, F,54,20170917,117000,5,,,,,,,,
8969, M,91,20170902,76000,13,,,,,,,,
8970, M,21,20180721,61000,23,,,,,,,,
8971, M,26,20180124,39000,7,,,,,,,,
8972, F,55,20150807,74000,9,,,,,,,,
8973, M,77,20170923,41000,19,,,,,,,,
8974, F,83,20170906,62000,23,,,,,,,,
8975, F,51,20151116,106000,45,,,,,,,,
8976, F,52,20151217,84000,9,,,,,,,,
8977, M,54,20160115,67000,12,,,,,,,,
8978, F,29,20170802,64000,22,,,,,,,,
8979, F,73,20161119,102000,4,,,,,,,,
8980, F,29,20171212,67000,9,,,,,,,,
8981, M,65,20180628,73000,4,,,,,,,,
8982, M,82,20160229,57000,28,,,,,,,,
8983, M,57,20160825,66000,11,,,,,,,,
8984, F,59,20161021,93000,25,,,,,,,,
8985, M,18,20180417,40000,6,,,,,,,,
8986, F,48,20170720,118000,25,,,,,,,,
8987, M,50,20160512,86000,8,,,,,,,,
8988, M,57,20180123,55000,5,,,,,,,,
8989, M,35,20170805,64000,4,,,,,,,,
8990, F,30,20141007,45000,5,,,,,,,,
8991, M,56,20160707,88000,42,,,,,,,,
8992, M,58,20170905,57000,9,,,,,,,,
8993, F,69,20171014,87000,6,,,,,,,,
8994, F,66,20171224,112000,10,,,,,,,,
8995, M,39,20180717,36000,10,,,,,,,,
8996, M,93,20160612,48000,18,,,,,,,,
8997, F,62,20160728,61000,6,,,,,,,,
8998, F,70,20170802,107000,22,,,,,,,,
8999, M,31,20180114,58000,28,,,,,,,,
9000, M,23,20171013,53000,11,,,,,,,,
9001, F,59,20160321,61000,8,,,,,,,,
9002, O,40,20130919,56000,19,,,,,,,,
9003, M,45,20160103,73000,19,,,,,,,,
9004, M,21,20170115,48000,35,,,,,,,,
9005, F,48,20170618,67000,22,,,,,,,,
9006, M,81,20180228,74000,30,,,,,,,,
9007, M,21,20180713,64000,30,,,,,,,,
9008, M,57,20180408,58000,18,,,,,,,,
9009, M,53,20141016,60000,9,,,,,,,,
9010, F,79,20161126,109000,9,,,,,,,,
9011, F,72,20180521,55000,53,,,,,,,,
9012, M,58,20180720,49000,4,,,,,,,,
9013, M,83,20171108,54000,6,,,,,,,,
9014, M,72,20171207,70000,16,,,,,,,,
9015, F,64,20180227,92000,11,,,,,,,,
9016, M,86,20160319,46000,4,,,,,,,,
9017, F,74,20170412,71000,5,,,,,,,,
9018, F,44,20180321,69000,12,,,,,,,,
9019, M,38,20150813,52000,11,,,,,,,,
9020, M,29,20180210,71000,5,,,,,,,,
9021, F,74,20171211,37000,4,,,,,,,,
9022, M,40,20141129,33000,5,,,,,,,,
9023, M,35,20171217,68000,7,,,,,,,,
9024, F,60,20170712,44000,4,,,,,,,,
9025, M,70,20171225,31000,9,,,,,,,,
9026, M,20,20140321,69000,6,,,,,,,,
9027, M,65,20150623,92000,11,,,,,,,,
9028, F,24,20170906,38000,5,,,,,,,,
9029, M,69,20180102,31000,45,,,,,,,,
9030, F,36,20170927,67000,5,,,,,,,,
9031, M,47,20160412,48000,5,,,,,,,,
9032, F,63,20151209,71000,8,,,,,,,,
9033, M,63,20180317,60000,12,,,,,,,,
9034, M,67,20180122,95000,11,,,,,,,,
9035, M,87,20161029,67000,9,,,,,,,,
9036, F,68,20170328,32000,100,,,,,,,,
9037, M,71,20170228,82000,5,,,,,,,,
9038, M,51,20160417,110000,4,,,,,,,,
9039, F,65,20160928,99000,7,,,,,,,,
9040, M,52,20160406,67000,4,,,,,,,,
9041, M,54,20171112,40000,6,,,,,,,,
9042, F,83,20170929,37000,7,,,,,,,,
9043, M,74,20160803,92000,7,,,,,,,,
9044, M,21,20180717,42000,15,,,,,,,,
9045, M,66,20180323,71000,15,,,,,,,,
9046, M,31,20180123,64000,17,,,,,,,,
9047, M,57,20140201,74000,10,,,,,,,,
9048, M,68,20160622,90000,4,,,,,,,,
9049, F,45,20170605,63000,65,,,,,,,,
9050, M,87,20160815,114000,15,,,,,,,,
9051, M,63,20160323,72000,7,,,,,,,,
9052, M,65,20151112,61000,18,,,,,,,,
9053, O,46,20171013,82000,21,,,,,,,,
9054, M,43,20141004,50000,12,,,,,,,,
9055, M,27,20150515,48000,55,,,,,,,,
9056, M,70,20160528,71000,23,,,,,,,,
9057, O,52,20180419,87000,5,,,,,,,,
9058, F,68,20151018,113000,43,,,,,,,,
9059, M,64,20151108,46000,7,,,,,,,,
9060, M,58,20180206,85000,6,,,,,,,,
9061, F,82,20180619,54000,8,,,,,,,,
9062, F,77,20151117,80000,46,,,,,,,,
9063, M,28,20150721,70000,18,,,,,,,,
9064, F,69,20160616,98000,4,,,,,,,,
9065, M,59,20150123,54000,4,,,,,,,,
9066, M,44,20160317,93000,29,,,,,,,,
